distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
7337,2017,102636,172.865782194928,Südliche Weinstraße,423.387515955597,5446.97164475551,7,Rheinland-Pfalz
7338,2017,138479,503.718154693597,Rhein-Pfalz-Kreis,450.283752537513,5475.31667926113,7,Rheinland-Pfalz
7339,2017,189678,346.545857010704,Mainz-Bingen,432.980549042842,5529.76291355678,7,Rheinland-Pfalz
7340,2017,91613,100.127946975417,Südwestpfalz,411.692506024533,5450.97864212488,7,Rheinland-Pfalz
8111,2017,476820,3051.56980950084,Stuttgart,514.705589660039,5402.8476214759,8,Baden-Württemberg
8115,2017,319466,630.581455581456,Böblingen,497.356182369766,5392.25969196586,8,Baden-Württemberg
8116,2017,442200,830.287861776447,Esslingen,526.215092544337,5388.69947109724,8,Baden-Württemberg
8117,2017,215588,399.079926518666,Göppingen,554.324677746401,5388.69947109724,8,Baden-Württemberg
8118,2017,447639,790.118962680373,Ludwigsburg,508.878773591381,5417.37844618125,8,Baden-Württemberg
8119,2017,358754,495.149636397539,Rems-Murr-Kreis,539.969595063216,5417.55555672436,8,Baden-Württemberg
8121,2017,94359,1252.50775853439,Heilbronn,514.678650238383,5444.30819535781,8,Baden-Württemberg
8125,2017,293359,309.818076024402,Heilbronn Kreis,521.328879654775,5450.1518355789,8,Baden-Württemberg
8126,2017,99781,143.405942633503,Hohenlohekreis,545.17393080334,5456.78682882087,8,Baden-Württemberg
8127,2017,173663,130.858382690843,Schwäbisch Hall,569.348076038196,5445.34507811995,8,Baden-Württemberg
8128,2017,120712,101.36182742518,Main-Tauber-Kreis,548.562061981337,5491.33873344957,8,Baden-Württemberg
8135,2017,112729,210.488886054151,Heidenheim,580.750466101509,5389.11591288285,8,Baden-Württemberg
8136,2017,279693,206.711702472558,Ostalbkreis,580.236442949091,5415.51122126123,8,Baden-Württemberg
8211,2017,44420,390.313146444112,Baden-Baden,444.405598796623,5400.67791807206,8,Baden-Württemberg
8212,2017,254065,1798.63337561988,Karlsruhe,456.829155346693,5429.30983918933,8,Baden-Württemberg
8215,2017,385900,407.888286893705,Karlsruhe Kreis,475.523708106597,5433.32406190824,8,Baden-Württemberg
8216,2017,199613,311.764148260499,Rastatt,433.711458828591,5403.6857451492,8,Baden-Württemberg
