district,municipality,age_group,pop
1056,1056003,above65,111
1056,1056004,above65,152
1056,1056005,above65,904
1056,1056006,above65,118
1056,1056008,above65,274
1056,1056009,above65,484
1056,1056010,above65,273
1056,1056011,above65,53
1056,1056013,above65,1026
1056,1056014,above65,270
1056,1056015,above65,9869
1056,1056016,above65,130
1056,1056017,above65,64
1056,1056018,above65,4183
1056,1056019,above65,242
1056,1056020,above65,396
1056,1056021,above65,857
1056,1056022,above65,133
1056,1056023,above65,456
1056,1056024,above65,623
1056,1056025,above65,339
1056,1056026,above65,317
1056,1056027,above65,295
1056,1056028,above65,671
1056,1056029,above65,756
1056,1056030,above65,503
1056,1056031,above65,676
1056,1056032,above65,428
1056,1056033,above65,216
1056,1056034,above65,101
1056,1056035,above65,136
1056,1056036,above65,899
1056,1056037,above65,106
1056,1056038,above65,76
1056,1056039,above65,9460
1056,1056040,above65,451
1056,1056041,above65,4976
1056,1056042,above65,86
1056,1056043,above65,3710
1056,1056044,above65,4448
1056,1056045,above65,185
1056,1056046,above65,142
1056,1056047,above65,413
1056,1056048,above65,2852
1056,1056049,above65,4183
1056,1056050,above65,8370
1056,1056051,above65,275
1057,1057001,above65,743
1057,1057002,above65,39
1057,1057003,above65,120
1057,1057004,above65,210
1057,1057005,above65,70
1057,1057006,above65,36
1057,1057007,above65,432
1057,1057008,above65,396
1057,1057009,above65,363
1057,1057010,above65,86
1057,1057011,above65,46
1057,1057012,above65,79
1057,1057013,above65,117
1057,1057015,above65,239
1057,1057016,above65,260
1057,1057017,above65,98
1057,1057018,above65,32
1057,1057020,above65,116
1057,1057021,above65,255
1057,1057022,above65,215
1057,1057023,above65,31
1057,1057024,above65,98
1057,1057025,above65,2733
1057,1057026,above65,105
1057,1057027,above65,88
1057,1057028,above65,97
1057,1057029,above65,269
1057,1057030,above65,361
1057,1057031,above65,76
1057,1057032,above65,99
1057,1057033,above65,170
1057,1057034,above65,43
1057,1057035,above65,167
1057,1057037,above65,74
1057,1057038,above65,20
1057,1057039,above65,200
1057,1057040,above65,66
1057,1057041,above65,75
1057,1057042,above65,103
1057,1057043,above65,1714
1057,1057044,above65,52
1057,1057045,above65,131
1057,1057046,above65,234
1057,1057047,above65,62
1057,1057048,above65,1401
1057,1057049,above65,70
1057,1057050,above65,159
1057,1057051,above65,1097
1057,1057052,above65,120
1057,1057053,above65,84
1057,1057054,above65,78
1057,1057055,above65,322
1057,1057056,above65,63
1057,1057057,above65,2664
1057,1057058,above65,98
1057,1057059,above65,92
1057,1057060,above65,96
1057,1057062,above65,4074
1057,1057063,above65,455
1057,1057065,above65,63
1057,1057066,above65,182
1057,1057067,above65,124
1057,1057068,above65,167
1057,1057069,above65,173
1057,1057070,above65,377
1057,1057071,above65,166
1057,1057072,above65,105
1057,1057073,above65,1922
1057,1057074,above65,1547
1057,1057076,above65,143
1057,1057077,above65,287
1057,1057078,above65,111
1057,1057079,above65,222
1057,1057080,above65,211
1057,1057081,above65,68
1057,1057082,above65,95
1057,1057083,above65,113
1057,1057084,above65,112
1057,1057085,above65,609
1057,1057086,above65,69
1057,1057087,above65,352
1057,1057088,above65,198
1057,1057089,above65,51
1057,1057090,above65,158
1057,1057091,above65,3774
1058,1058001,above65,194
1058,1058003,above65,357
1058,1058004,above65,57
1058,1058005,above65,2864
1058,1058007,above65,58
1058,1058008,above65,218
1058,1058009,above65,860
1058,1058010,above65,30
1058,1058011,above65,140
1058,1058012,above65,322
1058,1058013,above65,70
1058,1058014,above65,94
1058,1058015,above65,143
1058,1058016,above65,27
1058,1058018,above65,171
1058,1058019,above65,64
1058,1058021,above65,121
1058,1058022,above65,2074
1058,1058023,above65,100
1058,1058024,above65,358
1058,1058025,above65,40
1058,1058026,above65,242
