district,municipality,centroid_x,centroid_y
1054,1054105,510925.371620706,6028438.96416004
1054,1054106,509268.650682432,6034205.79660513
1054,1054108,493608.590071583,6050421.06049153
1054,1054109,490674.120339769,6067509.28297637
1054,1054110,479372.746395761,6082822.51068193
1054,1054113,477113.691679251,6018055.10888968
1054,1054116,512886.237313253,6028479.38962364
1054,1054118,508537.124165994,6038986.53801699
1054,1054119,510930.503398701,6025191.88012287
1054,1054120,499177.268281048,6033193.10784088
1054,1054121,500362.053528796,6054036.08867247
1054,1054123,515101.736921258,6050236.02628792
1054,1054124,504155.769515391,6069118.21174043
1054,1054125,502863.796131156,6066014.93079051
1054,1054126,493190.950782989,6065293.91828771
1054,1054128,499003.299727769,6047964.44207093
1054,1054129,463897.213616206,6063917.00959377
1054,1054130,515977.393261005,6025739.95049495
1054,1054131,494340.334715647,6080813.68596496
1054,1054132,504828.894967751,6032393.35706849
1054,1054134,481000.088494134,6019525.92872562
1054,1054135,489395.213637117,6025204.79123361
1054,1054136,496000.677687402,6073574.91209108
1054,1054138,492567.991723259,6017252.65454022
1054,1054140,479453.627996079,6022370.45940151
1054,1054141,496015.771090689,6029547.01253814
1054,1054142,489144.758836004,6077362.73888062
1054,1054143,462047.225005892,6062907.38162912
1054,1054144,510032.397671537,6046513.62556166
1054,1054145,486594.238307001,6015825.98749516
1054,1054146,502773.321747174,6053389.37151269
1054,1054148,487367.089944476,6017674.61261726
1054,1054149,457503.629256506,6087828.80121635
1054,1054150,479577.009490481,6026315.2987586
1054,1054152,514240.686925097,6039065.2698345
1054,1054154,499479.179765415,6079984.7128356
1054,1054156,514993.632715537,6031450.873027
1054,1054157,510193.481245442,6029656.19176895
1054,1054158,463777.106060247,6061369.90973657
1054,1054159,515210.884546443,6036682.65641884
1054,1054160,459397.649879854,6052867.98634144
1054,1054161,500424.151634223,6028870.94117542
1054,1054162,500252.336251721,6041752.47456803
1054,1054163,471042.749369006,6062604.80391771
1054,1054164,471892.712589367,6061353.9361074
1054,1054165,484105.59695744,6069174.89356893
1054,1054166,480536.217130699,6075133.39109236
1054,1054167,500270.39900886,6063696.19210021
1054,1054168,458893.740478085,6081419.62262137
1055,1055001,602737.371329287,5984876.87960878
1055,1055002,616463.367343207,6000583.14729677
1055,1055004,610696.098878761,5976624.19234255
1055,1055006,622632.838888074,6006491.19892597
1055,1055007,598699.497227282,5995048.36682623
1055,1055010,635187.055200407,6010019.10483049
1055,1055011,624050.905096731,6013068.13181263
1055,1055012,605657.763183033,6001162.47049903
1055,1055014,627938.702021136,6016145.51579525
1055,1055015,625143.164449399,6022620.18574642
1055,1055016,628539.135842194,6005108.54091147
1055,1055017,634516.834822914,6026490.44077628
1055,1055018,633105.690861883,6012449.09044118
1055,1055020,618787.93880752,6010636.39281619
1055,1055021,628001.262347995,6026119.02307449
1055,1055022,631869.314549177,6017201.13906554
1055,1055023,625602.304032265,6010028.37422284
1055,1055024,611396.3113437,6003276.94403223
1055,1055025,633855.280086642,6007336.75708557
1055,1055027,621594.168782637,6009761.76870284
1055,1055028,602677.220596889,6005560.13961973
1055,1055029,625114.534658027,6006344.15899238
1055,1055031,632189.746926791,6021535.2471606
1055,1055032,619980.940896471,5996631.35891917
1055,1055033,621694.040708665,6018346.19658414
1055,1055035,614694.097539221,5980788.21924004
1055,1055036,628431.115212349,6011489.28888243
1055,1055037,622578.023564413,6000816.87747448
1055,1055038,615245.19506124,6006992.25331388
1055,1055039,614978.880455671,5994159.39319608
1055,1055040,606227.926507956,5976941.12535621
1055,1055041,609140.127757632,5995076.84553413
1055,1055042,616746.541842264,5983008.68859757
1055,1055043,615427.497021758,6015056.38759695
1055,1055044,610579.333166219,5987676.60335738
1055,1055046,639247.962368329,6037404.52447007
1056,1056001,548727.689508879,5945090.51232451
1056,1056002,550947.881360176,5961376.18066914
1056,1056003,550678.524412874,5956330.48877271
1056,1056004,558069.354876545,5957942.94489054
1056,1056005,560188.963247131,5947394.45178292
1056,1056006,549051.934850738,5969244.56098273
1056,1056008,547235.543558631,5959428.58315626
1056,1056009,554303.927364017,5950752.6133429
1056,1056010,546827.483026978,5966336.01073069
1056,1056011,549179.63205361,5957920.77042505
1056,1056013,558235.005673531,5945826.53195435
1056,1056014,551605.300826308,5953623.55509956
1056,1056015,543837.355267815,5956090.8387997
1056,1056016,541631.839444042,5950400.60680292
1056,1056017,547830.954437881,5963120.73831101
1056,1056018,555470.560125238,5942135.61912834
1056,1056019,538256.107110095,5945620.14960518
1056,1056020,540307.05203587,5943224.92221059
1056,1056021,560810.812722631,5950343.13048655
1056,1056022,553570.51822086,5960283.18126482
1056,1056023,544640.760032072,5951047.7775693
1056,1056024,544426.07665755,5944489.30445166
1056,1056025,427973.588102556,6004521.50920194
1056,1056026,554773.531410845,5957030.29630768
1056,1056027,540744.347956844,5940492.28798318
1056,1056028,545940.077643646,5941961.44629625
1056,1056029,544585.592892276,5952888.55243313
1056,1056030,544951.759456288,5961707.40702444
1056,1056031,546752.817762994,5956776.05122796
1056,1056032,552150.303283605,5950531.45008797
1056,1056033,540199.254438746,5952558.93706834
1056,1056034,556496.674954642,5961666.98442634
1056,1056035,551947.137936027,5965187.36406646
1056,1056036,543373.583784594,5946750.23927464
1056,1056037,539792.557650755,5948582.13495612
